tSNE1,tSNE2,data,predicted
49.740112,-17.989883,CITE-seq,NK
-27.938921,-25.912743,CITE-seq,Naive CD4+ T
-5.634795,39.595974,CITE-seq,Effector CD4+ T
-27.396173,-10.719608,CITE-seq,Naive CD4+ T
-48.492096,16.529465,CITE-seq,Naive CD4+ T
19.779493,-28.26788,CITE-seq,B
48.516247,30.876408,CITE-seq,Effector CD8+ T
-38.245537,2.3650968,CITE-seq,Naive CD4+ T
15.1630335,31.032028,CITE-seq,Effector CD4+ T
-34.755814,7.4458523,CITE-seq,Naive CD4+ T
53.674484,-19.618252,CITE-seq,NK
57.912617,2.3374429,CITE-seq,NK
-4.842767,-57.502884,CITE-seq,Naive CD8+ T
12.295282,43.07039,CITE-seq,Effector CD4+ T
-24.328161,-11.785369,CITE-seq,Naive CD4+ T
54.68306,1.0071801,CITE-seq,NK
-32.889786,44.60407,CITE-seq,Effector CD4+ T
-5.6300435,-62.25495,CITE-seq,Naive CD8+ T
55.193638,4.31861,CITE-seq,NK
-24.59428,6.3649235,CITE-seq,Naive CD4+ T
-9.711069,56.560078,CITE-seq,Effector CD4+ T
9.011992,48.13968,CITE-seq,Effector CD4+ T
5.2093816,-0.8584962,CITE-seq,Monocytes
-37.66218,2.0757558,CITE-seq,Naive CD4+ T
-18.327888,-51.063282,CITE-seq,Naive CD8+ T
16.120491,58.674522,CITE-seq,Effector CD4+ T
1.774582,-48.299664,CITE-seq,Naive CD8+ T
-56.004375,-10.693303,CITE-seq,Naive CD4+ T
37.2013,27.635983,CITE-seq,Effector CD8+ T
-27.750565,-20.482971,CITE-seq,Naive CD4+ T
2.75897,51.32984,CITE-seq,Effector CD4+ T
-21.88918,2.1236303,CITE-seq,Naive CD4+ T
-35.272964,5.8142724,CITE-seq,Naive CD4+ T
13.937783,4.6239758,CITE-seq,Monocytes
10.752218,11.417049,CITE-seq,Monocytes
13.534192,5.3744936,CITE-seq,Monocytes
19.036724,52.063076,CITE-seq,Effector CD4+ T
-54.516495,3.4451544,CITE-seq,Naive CD4+ T
55.051895,0.8860718,CITE-seq,NK
-25.4632,-19.559238,CITE-seq,Naive CD4+ T
2.9233844,-6.4949474,CITE-seq,Monocytes
-11.297706,-54.239033,CITE-seq,Naive CD8+ T
